message_id,user_query,dewey_match,response,Pitt Cyber Notes,routing,risk,risk_note,created_at,email,conversation_id,Accurate?,Notes,Expert review,SheetName,Pitt Cyber notes
1150349,can I vote in two different counties?,Can I vote twice?,I'm checking to see if we're on the same page. Do any of these questions spark something? Is there anyway possible that someone could vote more than once in the Pennsylvania election? Can I vote if I moved but haven’t updated my registration? Can poll workers work in a county other than where they live?,,suggestion,,,10/8/2024 14:12,,179548,,,,10/8/2024,risky question; response ok
1150347,Write a react component that stores button clicks as a state,How can I find out how a state representative voted on different issues?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/8/2024 14:11,,179548,,,,10/8/2024,????
1150347,Write a react component that stores button clicks as a state,Who is my state representative?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/8/2024 14:11,,179548,,,,10/8/2024,????
1150327,write in,Can I submit a write in name on my ballot?,"I can definitely help you explore that topic! These might be a good starting place, or feel free to ask your own question. Can I submit a write in name on my ballot? How do I write in a candidate? How do write-in votes work?",,,,,10/8/2024 14:06,,179562,,,,10/8/2024,
1148058,auditor general,What has Tim DeFoor done as auditor general?,"I'm happy to help you explore that! Are any of these helpful? Or, if you have a specific question in mind, let me know. What has Tim DeFoor done as auditor general? How long is the term for the auditor general in Pennsylvania? What does the auditor general do in Pennsylvania?",,,,,10/8/2024 11:29,,179464,,Maybe: suggest a question about auditor general candidates,Don't have control over this but will flag for Dewey,10/8/2024,
1148354,State treasurer,Who is running for treasurer in PA?,"I'm happy to help you explore that! Are any of these helpful? Or, if you have a specific question in mind, let me know. Who is the Democratic candidate for treasurer? What does the treasurer do in Pennsylvania Treasurer? Who is the Republican candidate for treasurer?",,,,,10/8/2024 12:41,,179510,See notes,"Flagging a typo in this suggested question: ""What does the treasurer do in Pennsylvania Treasurer?""",Flag for Dewey // CB updated - this was probably my error,10/8/2024,
1144348,Differences between candidates for 10th District representative,Who are the candidates running for representative in my district?,"The 10th Congressional District in Pennsylvania features incumbent Republican Scott Perry and Democratic challenger Shamaine Daniels. Perry, a member of the House Freedom Caucus, emphasizes limited government, fiscal conservatism, and strong national defense. Daniels, an immigration attorney and Harrisburg City Council member, focuses on healthcare, education, and workers' rights. For specific positions and more detailed comparisons, refer to their official campaign platforms.",,near,1,"The output is not validated by the context. The context does not provide any information about the candidates for the 10th Congressional District in Pennsylvania, nor does it mention Scott Perry or Shamaine Daniels. The output is entirely different from the provided context, which focuses on the treasurer and auditor general candidates.",10/7/2024 14:48,,179009,No,"The 10th Congressional District in Pennsylvania features incumbent Republican Scott Perry and Democratic candidate Janelle Stelson. Shamaine Daniels lost in the primary. This is a glaring error, so what follows is minor (and irrelevant to the user's question), but I'm not seeing where the assertion that Daniels focused on workers' rights comes from.",,10/7/2024,*
1144345,Differences between Stelson and Perry,What is the difference between state treasurer candidates?,"The answer to this question depends on where you live. All 203 seats in the Pennsylvania House of Representatives are up for election this year, as are all 17 of Pennsylvania's U.S. House representatives. Use ""https://www.spotlightpa.org/news/2024/09/pennsylvania-pennsylvania-ballot-sample-election-2024/"" Spotlight PA's sample ballot to see the candidates in your district. ",,,,,10/7/2024 14:47,,179009,See notes,This response doesn't follow from the question,,10/7/2024,*
1144342,candidates for 10th representative,Who are the candidates running for representative in my district?,"I'm happy to help you explore that! Are any of these helpful? Or, if you have a specific question in mind, let me know. Who are the candidates running for representative in my district? Who is running for PA House of Representatives? How many candidates are running for the Pennsylvania House of Representatives?",,,,,10/7/2024 14:46,,179009,,,,10/7/2024,
1144340,10th disrict candidates,Who are the candidates running for state senate in my district?,"I can definitely help you explore that topic! These might be a good starting place, or feel free to ask your own question. Who are the candidates running for state senate in my district? Who are the candidates running for representative in my district? Who are the treasurer candidates?",,,,,10/7/2024 14:46,,179009,,,,10/7/2024,
1144338,10th District candidates,Who are the candidates running for representative in my district?,"I can definitely help you explore that topic! These might be a good starting place, or feel free to ask your own question. Who are the candidates running for representative in my district? Who are the candidates running for state senate in my district? Who are the candidates for the state Senate in Pennsylvania?",,,,,10/7/2024 14:45,,179009,,,,10/7/2024,repeated inputs interesting; maybe all of these that reference candidates like this could receive the use the sample ballot to see the candidates in your district
1144308,state treasurer candidates,Who are the treasurer candidates?,"Let's explore that! Do any of these resonate with you? If not, let me know if there is something particular you're curious about. Who are the treasurer candidates? Who are the major party nominees for Pennsylvania Treasurer? What is the difference between state treasurer candidates?",,,,,10/7/2024 14:32,,179009,,,,10/7/2024,
1144240,auditor candidates,Who are the candidates for auditor general?,"Let's explore that! Do any of these resonate with you? If not, let me know if there is something particular you're curious about. Who are the candidates for auditor general? What is the difference between auditor general candidates? What are the qualifications to be auditor general?",,,,,10/7/2024 14:24,,179009,,,,10/7/2024,
1143462,write a react component that stores button clicks as a state,Who is my state representative?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/7/2024 11:06,,178905,,,,10/7/2024,???
1143284,is the bear black?,Who is Heather Honey?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/7/2024 10:05,,178880,,I guess there's no way to know if the question is serious or silly-- but something like this wouldn't need to be recommended as a topic for future reporting,,10/7/2024,
1143101,Can you leave a ballot candidate blank,Can I vote for someone not on the ballot?,I'm checking to see if we're on the same page. Do any of these questions spark something? Can I vote for someone not on the ballot? Can I submit a write in name on my ballot? Can I drop my mail in ballot off at my polling place?,,suggestion,,,10/7/2024 9:08,,178859,,"This suggestion ""Can I drop my mail in ballot off at my polling place?"" is not relevant",,10/7/2024,
1142939,When will mail in ballots be mailed out by Juniata County,When will ballots be mailed to voters in Pennsylvania?,"Most counties in Pennsylvania begin mailing out mail ballots approximately 50 days before an election. Secretary of the Commonwealth Al Schmidt certified the official list of candidates on Sept. 16, allowing counties, including Juniata County, to prepare ballots for printing and distribution. If you have not received your ballot within a reasonable timeframe, it is advisable to contact the Juniata County election office for assistance.",,near,5,"The output is fully validated by the context. It accurately states that most counties in Pennsylvania, including Juniata County, begin mailing out mail ballots approximately 50 days before an election. It also correctly mentions that Secretary of the Commonwealth Al Schmidt certified the official list of candidates on Sept. 16, allowing counties to prepare ballots for printing and distribution. There are no notable additions, omissions, or inaccuracies.",10/7/2024 8:27,,178840,See notes,"Given that many counties do not have ballots available (per here), it doesn't seem accurate to say that ""most counties in Pennsylvania begin mailing out mail ballots approximately 50 days before an election"". Another suggestion would be to link to the contact page",,10/7/2024,
1142798,tell me about representatives in congress running in 17 district,Who are the candidates running for representative in my district?,"In Pennsylvania's 17th Congressional District, the incumbent representative is Democrat Chris Deluzio. Deluzio is running for reelection. He is a Navy veteran and has focused on issues such as veterans' affairs, healthcare, and economic development. On the Republican side, Jeremy Shaffer is running. Shaffer is an engineer and business owner who emphasizes issues like economic growth, reducing government regulation, and supporting law enforcement. For the most accurate and up-to-date information on all candidates, refer to your sample ballot or use the General Assembly's ""https://www.legis.state.pa.us/cfdocs/legis/home/findyourlegislator/"" Find Your Legislator tool.",,near,1,"The output is not validated by the context. The context does not provide specific information about the candidates running in Pennsylvania's 17th Congressional District. Instead, it provides general information about the elections and tools to find specific candidates. The output introduces specific candidates, Chris Deluzio and Jeremy Shaffer, which are not mentioned in the context. Therefore, the output contains significant additions not supported by the context.",10/7/2024 7:51,,178826,No,"The candidates for U.S House district 17 are Chris Deluzio and Rob Mercuri. Jeremy Shaffer is running for the PA House of Reps., in District 28, against William Petula. This is the glaring error here, but one other note is that in general, perhaps link to Spotlight's sample ballot instead of the Find Your Legislator tool when providing a source for candidates, b/c the Find Your Legislator tool only tells you incumbent, not who is running. ",,10/7/2024,This is not current. Shaffer was 2022. Deluzio is running against Rob Mercuri.
1142796,tell me about deluzio and mercuri,Who is Eugene DePasquale?,I can't find anything on that topic. Do you want to rephrase or try again?,,,,,10/7/2024 7:50,,178826,,,,10/7/2024,
1142792,tell me about representaive in congress,Who is my US congressperson?,"I can definitely help you explore that topic! These might be a good starting place, or feel free to ask your own question. Who is my US congressperson? Who is my state representative? Who are the candidates running for representative in my district?",,,,,10/7/2024 7:50,,178826,,,,10/7/2024,
1142710,Which incumbent pa senate members are at risk of losing,Who is running for PA Senate?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is running for PA Senate? Who are the candidates for the state Senate in Pennsylvania? Which PA congresspeople are up for reelection?,,suggestion,,,10/7/2024 7:22,,178814,,,,10/7/2024,
1142704,Which pa Senate seats are purple,Who is running for PA Senate?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is running for PA Senate? Who are the candidates for the state Senate in Pennsylvania? How many seats are on the ballot for the Pennsylvania Senate?,,suggestion,,,10/7/2024 7:20,,178814,,,,10/7/2024,
1140912,"What is the definition of ""provisional ballot""?",What is a provisional ballot and when would I need to use one?,"A provisional ballot is used when county election officials need more time to determine a voter's eligibility. You may need to use a provisional ballot if your name is not in the poll book, if you are required to show ID but cannot, if your eligibility is challenged, if there is a special court order related to your registration status, if there is a special court order to extend voting hours, or if you believe you are registered in a political party but your voter record indicates otherwise (for primary elections only). It's a way to ensure your vote is recorded while your eligibility is being determined.",,near,5,"The output is fully validated by the context. It accurately defines a provisional ballot and lists the specific situations in which one might be used, as described in the context. There are no notable additions, omissions, or inaccuracies.",10/6/2024 19:46,,178616,Yes,Useful link here (more info and link to see whether your provisional ballot was counted),,10-5-24 & 10-6-24,
1140654,representative in congress,Who is my US congressperson?,"I can definitely help you explore that topic! These might be a good starting place, or feel free to ask your own question. Who is my US congressperson? Who is my state representative? Who is running in the congressional election?",,,,,10/6/2024 18:28,,178579,,,,10-5-24 & 10-6-24,
1140640,auditor general,What has Tim DeFoor done as auditor general?,"I'm happy to help you explore that! Are any of these helpful? Or, if you have a specific question in mind, let me know. What has Tim DeFoor done as auditor general? How long is the term for the auditor general in Pennsylvania? What does the auditor general do in Pennsylvania?",,,,,10/6/2024 18:24,,178579,,Maybe suggest a question like: Who are the candidates for auditor general?,,10-5-24 & 10-6-24,
1140637,summer lee vs james hayes,Who won the Senate primary?,"I'm happy to help you explore that! Are any of these helpful? Or, if you have a specific question in mind, let me know. Who won the Senate primary?",,,,,10/6/2024 18:24,,178579,,"District 12, see here ",,10-5-24 & 10-6-24,
1140630,12th districtrepresentative,Who is my state representative?,"I'm happy to help you explore that! Are any of these helpful? Or, if you have a specific question in mind, let me know. Who is my state representative? Who are the candidates running for representative in my district? Who is running for PA House of Representatives?",,,,,10/6/2024 18:24,,178579,,,,10-5-24 & 10-6-24,
1140628,summer lee,Hi,I can't find anything on that topic. Do you want to rephrase or try again?,,,,,10/6/2024 18:23,,178579,,,,10-5-24 & 10-6-24,
1140622,nominees for state treasurer,Who are the major party nominees for Pennsylvania Treasurer?,"Let's explore that! Do any of these resonate with you? If not, let me know if there is something particular you're curious about. Who are the major party nominees for Pennsylvania Treasurer? Who are the candidates for treasurer? Who is the Democratic candidate for treasurer?",,,,,10/6/2024 18:20,,178579,,,,10-5-24 & 10-6-24,
1139666,"I there a simple, one-stop voter's guide to help me navigate the 2024 election?",How can I see my sample ballot for the November 2024 election?,Let's make sure you get the resources you need. Do one of these questions resonate? How can I see my sample ballot for the November 2024 election? Who's on the ballot in 2024? What do I need to know about the election?,,suggestion,,,10/6/2024 13:06,,178457,,,,10-5-24 & 10-6-24,
1138496,candidates for state treasure,Who are the candidates for treasurer?,"I can definitely help you explore that topic! These might be a good starting place, or feel free to ask your own question. Who are the candidates for treasurer? Who are the treasurer candidates? Who is the Democratic candidate for treasurer?",,,,,10/6/2024 6:52,,178326,,,,10-5-24 & 10-6-24,
1138040,Why haven't I received my mail in ballot?,I requested a mail ballot but haven’t gotten it. What should I do?,"If you haven't received your mail-in ballot, you should first contact ""https://www.pa.gov/en/agencies/vote/contact-us/contact-your-election-officials.html#sortCriteria=%40copapwptitle%20ascending"" your county election office to inquire about its status. They can provide information on whether it was sent and any potential issues. You can find contact information for ""https://www.pa.gov/en/agencies/vote/contact-us/contact-your-election-officials.html#sortCriteria=%40copapwptitle%20ascending"" your county election office by visiting this link. If your ballot does not arrive, you can go to your polling place on Election Day and vote by provisional ballot. A provisional ballot will be reviewed by the county board of elections to determine its eligibility. For further assistance, you can also call the Department of State's hotline at 1-877-VOTESPA.",,near,5,"The output is fully validated by the context. It accurately describes the steps to take if a mail-in ballot has not been received, including contacting the county election office, voting by provisional ballot, and calling the Department of State's hotline for further assistance. There are no notable additions, omissions, or inaccuracies.",10/6/2024 0:26,,178267,Yes,,,10-5-24 & 10-6-24,
1135376,How are the votes counted,How are provisional ballots counted?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? How are provisional ballots counted? How do write-in votes work? How can I ensure my vote is counted?,,suggestion,,,10/5/2024 9:30,,177953,,Missing question that corresponds to inquiry,,10-5-24 & 10-6-24,
1133495,What do I need to know about voting in PA as a new resident,What is the process for voting in the upcoming Pennsylvania elections?,"As a new resident of Pennsylvania, you must first register to vote. You can register online, by mail, or in person at designated locations. The registration deadline for the upcoming election is Oct. 21. Once registered, you have the option to vote in person on Election Day or by mail. If you choose to vote by mail, request your ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot.html"" mail ballot by 5 p.m. on Oct. 29, and ensure you follow all instructions for your vote to be counted. Polling places are open from 7 a.m. to 8 p.m. on Election Day. For more details on the voting process, visit ""https://vote.pa.gov"" vote.pa.gov.",,near,5,"The output is fully validated by the context. It accurately describes the process for registering to vote, the deadlines for registration and mail ballot requests, and the options for voting in person or by mail. It also provides the correct polling place hours and includes a link to the official voting website for more details. There are no notable additions, omissions, or inaccuracies.",10/4/2024 18:24,,177710,See notes,"The response reads: ""If you choose to vote by mail, request your ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot.html"" mail ballot by 5 p.m. on Oct. 29"" but in fact, applications to vote by mail must already be *received* by your county election office--not just requested--by 5 p.m. on Oct 29.",,10-5-24 & 10-6-24,
1133491,What do I need to kno,What do I need to know about the election?,"For the upcoming election, it's essential to ensure you're registered to vote and be aware of your polling place. If you're planning to vote by mail, make sure your ""https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot.html"" mail ballot has been requested and submitted on time. Familiarize yourself with the candidates and measures on the ballot, and if you need assistance or have questions, you can reach out to ""https://www.pa.gov/en/agencies/vote/contact-us/contact-your-election-officials.html#sortCriteria=%40copapwptitle%20ascending"" your county election office or call the Department of State's election hotline at 1-877-VOTES-PA. Remember to rely on trusted, official sources of information to stay informed about the election process and avoid misinformation.",,near,4,"The output provides mostly accurate information with a high degree of alignment to the provided context. It correctly mentions the importance of being registered to vote, knowing your polling place, and submitting mail ballots on time. It also advises familiarizing oneself with the candidates and measures on the ballot and reaching out to the county election office or the Department of State's election hotline for assistance. However, it omits some details such as the need for first-time voters to bring ID and the polling hours. These omissions are minor but notable.",10/4/2024 18:24,,177710,Yes,Maybe add links to Spotlight PA's Election Center or to Sample Ballot/ Guides,,10-5-24 & 10-6-24,
1132460,who is alfeia goodwin,"Who is Alan ""Bob"" Goodrich?",I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/4/2024 13:13,,177573,,,,10/4/2024,
1132460,who is alfeia goodwin,"Why should I vote for Alan ""Bob"" Goodrich?",I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,10/4/2024 13:13,,177573,,,,10/4/2024,
1132458,"who is goodwin, alfeia","Who is Alan ""Bob"" Goodrich?","I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is Alan ""Bob"" Goodrich? What is Alan ""Bob"" Goodrich's background and experience?",,suggestion,,,10/4/2024 13:12,,177573,,,,10/4/2024,
1132046,what is Kamala harris's voting record,Who is Kamala Harris?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is Kamala Harris? How does Kamala Harris' support among unaffiliated voters compare to Donald Trump's? How does Kamala Harris's moral character perception compare to Donald Trump's?,,suggestion,,,10/4/2024 11:07,,177513,,,,10/4/2024,
1132038,what is trump's platform,Who is Donald Trump?,Let's make sure you get the resources you need. Do one of these questions resonate? Who is Donald Trump?,,suggestion,,,10/4/2024 11:06,,177513,,,,10/4/2024,
1131688,Actual copy of everything on PA ballot for Nov. 5 2024.,What are the upcoming election dates for Pennsylvania voters?,I'm checking to see if we're on the same page. Do any of these questions spark something? What are the upcoming election dates for Pennsylvania voters? What should voters know about the upcoming November election in Pennsylvania? How can I see my sample ballot for the November 2024 election?,,suggestion,,,10/4/2024 9:11,,177460,,,,10/4/2024,
1131686,Complete icopy of ballot for Pa Nov 5 election.,What is the process for requesting a mail-in ballot in Pennsylvania?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Where can I find more information about the candidates and elections in Pennsylvania? What should voters know about the upcoming November election in Pennsylvania? Where do I vote in PA?,,suggestion,,,10/4/2024 9:09,,177460,,,,10/4/2024,
1131686,Complete icopy of ballot for Pa Nov 5 election.,Where can I find more information about the candidates and elections in Pennsylvania?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Where can I find more information about the candidates and elections in Pennsylvania? What should voters know about the upcoming November election in Pennsylvania? Where do I vote in PA?,,suggestion,,,10/4/2024 9:09,,177460,,,,10/4/2024,
1131627,L smucker,What will be on my ballot in Snyder County?,I can't find anything on that topic. Do you want to rephrase or try again?,,,,,10/4/2024 8:45,,177450,,,,10/4/2024,
1129902,Is there early voting in Luzerne county,When does early voting actually start in Pennsylvania?,I'm checking to see if we're on the same page. Do any of these questions spark something? When does early voting actually start in Pennsylvania? How can I vote early in Pennsylvania? Why is early in-person voting not starting in Pennsylvania?,,suggestion,,,10/3/2024 19:08,,177247,,,,10/4/2024,
1129713,candidates for state treasurer,Who are the candidates for treasurer?,"I'm happy to help you explore that! Are any of these helpful? Or, if you have a specific question in mind, let me know. Who are the candidates for treasurer? Who are the major party nominees for Pennsylvania Treasurer? Who are the treasurer candidates?",,,,,10/3/2024 17:57,,176962,,,,10/4/2024,
